#fields plotid, dates (x=processed)
P144, 230516x,230525x,230530x,230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
P145,         230525x,230530x,230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
P146,                 230530x,230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
P147,                         230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x
P148,                         230601x,230606x,230613x,230619x,230621x,230625x,230629x
P149,                                         230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
P150,                 230530x,230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
P151, 230516x,230525x,230530x,230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
